Reference;Titre;Auteur;Editeur;Code Classement;Genre;XSignet;Prete a;CodeLecteur;Prete le;Rendu le;Annee d'edition;Date d'achat;Origine;Type de document;Cote;Prix;Lieu;NbPage;Contenant;Collection;Photo1;Son1;Frequence;Duree;Format;Annee origine;ISBN;ISSN;Etat;NbEx;Appreciation;Codebarre;AdrInternet;Valeur;Pays Ville;Tomaison;Commentaires;Resume;NbPret;Debut abonnement;Dernier abonnement;Prochain abonnement;Periodicite;Nbr abonnement;Langue;Systeme;Version;Son;Pellicule;Info;NumNotice;DateImportNotice;DateRetourNotice;NomFichierNotice;NomOrigineNotice;Alpha1;Alpha2;Alpha3;Num1;Num2;Date1;Public
55971;Buitenpoorters van Ieper in SINT-JAN 1631 tot 1795;BAUWEN Freddy;*;002;2;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55971;;;;;;;;;;;;;;;;;;;;;;;;Sint-Jan;;;;;;Tous publics
55972;Buitenpoorters van Ieper in VLAMERTINGE 1713 tot 1796;BAUWEN Freddy;*;002;2;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55972;;;;;;;;;;;;;;;;;;;;;;;;Vlamertinge;;;;;;Tous publics
55973;Buitenpoorters van Ieper in WULVERGEM 1631 tot 1796;BAUWEN Freddy;*;002;2;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55973;;;;;;;;;;;;;;;;;;;;;;;;Wulvergem;;;;;;Tous publics
55974;Famille PER-PERRE-VANDE(R)PER(RE) (1 à 5);*;*;002;3;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55975;Famille PER-PERRE-VANDE(R)PER(RE) (6 à 10);*;*;002;3;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55976;Famille PER-PERRE-VANDE(R)PER (RE) (11 à 15);*;*;002;3;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55977;Famille PER-PERRE-VANDE(R)PER(RE) (16 à 20);*;*;002;3;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55978;BOURBOURG (D) – Sépultures 1770 à 1786;*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55978;;;;;;;;;;;;;;;;;;;;;;;;Bourbourg;;;;;;Tous publics
55979;RUBROUCK (D) – BMS 1737 à 1754;*;*;002;1;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55979;;;;;;;;;;;;;;;;;;;;;;;;Rubrouck;;;;;;Tous publics
55980;Généalogie 62 - Bulletin de l'AGP – Année 2008 (n° 97 et 100);*;AGP (Association Généalogique du Pas-de-Calais);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55981;Origines 2004-2005 (n° 29 à 31);*;GAG (Généalogie Association Gravelines);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55982;Origines 2008 (n° 44 et 2010, n° 50 et 51);*;GAG (Généalogie Association Gravelines);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55983;Origines 2012 (n° 58 à 60);*;GAG (Généalogie Association Gravelines);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55984;Origines 2012-2013 (n° 61 à 63);*;GAG (Généalogie Association Gravelines);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55985;Origines 2013 (n° 64 et 65);*;GAG (Généalogie Association Gravelines);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55986;Nord Généalogie – Année 2016 (n° 241 et 242);*;GGRN (Groupement Généalogique de la Région Nord);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55987;Nord Généalogie – Année 2016 (n° 243 et 244);*;GGRN (Groupement Généalogique de la Région Nord);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55988;Douaisis généalogie – Année 2016 (n° 13 à 16);*;CEGD (Centre d'Etudes Généalogiques du Douaisis);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55989;Flandre-Hainaut – Année 2016 (129-130);*;AGFH (Association Généalogique Flandre-Hainaut);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55990;Flandre-Hainaut – Année 2016 (131-132);*;AGFH (Association Généalogique Flandre-Hainaut);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55991;Généalogie pratique dans l'ouest du Pas-de-Calais – Année 2009 (n° 155 à 162);*;Amis du Vieux Calais;002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55992;Généalogie pratique dans l'ouest du Pas-de-Calais – Année 2010 (n° 163 à 166);*;Amis du Vieux Calais;002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55993;Généalogie pratique dans l'ouest du Pas-de-Calais – Année 2016 (n° 187 à 190);*;Amis du Vieux Calais;002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
55994;Vlaam Stam Flamand – Année 2016 (n° 1 et 2);*;VVF (Vlaamse Vereniging voor Familiekunde);002;6;;;;;;;01/02/2017;;1;;;2;;;C.R.G.F.A. Bailleul;;;;;;;;;;1;;55994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tous publics
